"","Transect","Plot","Replicate","Date","Time","Observer","Sky","Wind","BirdNumber","Period","Minute","Species","Sex","DetectionMethod","Distance","NewRecord","CounterSing"
"1",810,314,0,"5/22/2015","5:32:00 AM","CH",0,0,1,1,1,"REVI","M","S",1,1,0
"2",810,314,0,"5/22/2015","5:32:00 AM","CH",0,0,2,1,1,"BTBW","M","S",1,1,0
"3",810,314,0,"5/22/2015","5:32:00 AM","CH",0,0,3,1,1,"BLBW","M","S",1,1,0
"4",810,314,0,"5/22/2015","5:32:00 AM","CH",0,0,4,1,1,"OVEN","M","S",1,1,0
"5",810,314,0,"5/22/2015","5:32:00 AM","CH",0,0,5,1,2,"BLBW","M","S",1,1,0
"6",810,314,0,"5/22/2015","5:32:00 AM","CH",0,0,6,1,3,"BLBW","M","S",1,1,0
"7",810,314,0,"5/22/2015","5:32:00 AM","CH",0,0,7,2,3,"REVI","M","S",1,0,0
"9",810,314,0,"5/22/2015","5:32:00 AM","CH",0,0,9,2,3,"BLBW","M","S",1,0,0
"10",810,314,0,"5/22/2015","5:32:00 AM","CH",0,0,10,2,3,"BLBW","M","S",1,0,0
"11",810,314,0,"5/22/2015","5:32:00 AM","CH",0,0,11,2,4,"BLBW","M","S",1,0,0
"12",810,314,0,"5/22/2015","5:32:00 AM","CH",0,0,12,3,6,"REVI","M","S",1,0,0
"13",810,314,0,"5/22/2015","5:32:00 AM","CH",0,0,13,3,6,"BLBW","M","S",1,0,0
"17",825,337,0,"5/21/2015","5:51:00 AM","CH",0,0,1,1,1,"BLBW","M","S",1,1,0
"21",825,337,0,"5/21/2015","5:51:00 AM","CH",0,0,5,2,5,"BLBW","M","S",1,0,0
"24",825,392,0,"5/21/2015","6:10:00 AM","CH",0,0,1,1,1,"REVI","M","S",1,1,1
"27",825,392,0,"5/21/2015","6:10:00 AM","CH",0,0,4,1,1,"OVEN","M","S",1,1,1
"28",825,392,0,"5/21/2015","6:10:00 AM","CH",0,0,6,2,3,"REVI","M","S",1,0,1
"32",825,392,0,"5/21/2015","6:10:00 AM","CH",0,0,11,3,7,"REVI","M","S",1,0,1
"36",825,393,0,"5/21/2015","6:27:00 AM","CH",1,0,1,1,1,"REVI","M","S",1,1,1
"38",825,393,0,"5/21/2015","6:27:00 AM","CH",1,0,3,1,1,"OVEN","M","S",1,1,0
"40",825,393,0,"5/21/2015","6:27:00 AM","CH",1,0,5,2,3,"REVI","M","S",1,0,1
"42",825,393,0,"5/21/2015","6:27:00 AM","CH",1,0,7,2,4,"OVEN","M","S",1,1,0
"43",825,393,0,"5/21/2015","6:27:00 AM","CH",1,0,9,2,5,"BLBW","M","S",1,1,0
"44",825,393,0,"5/21/2015","6:27:00 AM","CH",1,0,10,3,6,"REVI","M","S",1,0,0
"45",825,393,0,"5/21/2015","6:27:00 AM","CH",1,0,12,3,6,"BLBW","M","S",1,0,0
"48",825,394,0,"5/21/2015","6:48:00 AM","CH",1,0,1,1,1,"BTNW","M","S",1,1,0
"52",825,394,0,"5/21/2015","6:48:00 AM","CH",1,0,5,1,2,"BTNW","M","S",1,1,0
"54",825,394,0,"5/21/2015","6:48:00 AM","CH",1,0,9,2,4,"BTNW","M","S",1,0,0
"56",825,394,0,"5/21/2015","6:48:00 AM","CH",1,0,13,3,6,"REVI","M","S",1,0,0
"66",830,352,0,"5/21/2015","5:30:00 AM","DJW",1,1,12,2,6,"BLBW","M","S",1,0,1
"68",830,352,0,"5/21/2015","5:30:00 AM","DJW",1,1,15,3,7,"BTNW","M","S",1,0,0
"69",830,352,0,"5/21/2015","5:30:00 AM","DJW",1,1,16,3,7,"BLBW","M","S",1,0,0
"72",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,1,1,1,"REVI","M","S",1,1,1
"73",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,2,1,1,"REVI","M","S",1,1,1
"74",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,3,1,1,"BTNW","M","S",1,1,0
"75",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,4,1,1,"REVI","M","S",1,1,1
"77",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,6,1,2,"BTBW","M","S",1,1,1
"78",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,8,2,3,"REVI","M","S",1,0,1
"79",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,9,2,3,"REVI","M","S",1,0,1
"80",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,10,2,3,"OVEN","M","S",1,1,0
"81",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,11,2,4,"BTNW","M","S",1,0,0
"83",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,15,3,6,"REVI","M","S",1,0,1
"84",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,16,3,7,"REVI","M","S",1,0,1
"86",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,19,3,7,"BTNW","M","S",1,0,0
"88",825,339,0,"5/21/2015","5:31:00 AM","AJS",2,1,21,3,8,"OVEN","M","S",1,0,1
"89",825,395,0,"5/21/2015","7:07:00 AM","CH",1,0,1,1,1,"REVI","M","S",1,1,0
"90",825,395,0,"5/21/2015","7:07:00 AM","CH",1,0,2,1,1,"BTBW","M","S",1,1,0
"95",825,395,0,"5/21/2015","7:07:00 AM","CH",1,0,8,1,3,"BLBW","M","S",1,1,0
"96",825,395,0,"5/21/2015","7:07:00 AM","CH",1,0,10,2,3,"REVI","M","S",1,0,0
"97",825,395,0,"5/21/2015","7:07:00 AM","CH",1,0,11,2,3,"OVEN","M","S",1,0,0
"98",825,395,0,"5/21/2015","7:07:00 AM","CH",1,0,12,2,3,"BTBW","M","S",1,0,0
"99",825,395,0,"5/21/2015","7:07:00 AM","CH",1,0,13,2,3,"BLBW","M","S",1,0,0
"101",825,395,0,"5/21/2015","7:07:00 AM","CH",1,0,16,2,4,"BLBW","M","S",1,1,0
"102",825,395,0,"5/21/2015","7:07:00 AM","CH",1,0,17,3,6,"BTBW","M","S",1,0,0
"103",825,395,0,"5/21/2015","7:07:00 AM","CH",1,0,18,3,6,"BLBW","M","S",1,0,0
"104",825,395,0,"5/21/2015","7:07:00 AM","CH",1,0,19,3,6,"REVI","M","S",1,0,1
"107",820,391,0,"5/21/2015","7:56:00 AM","CH",1,0,1,1,1,"BTNW","M","S",1,1,0
"108",820,391,0,"5/21/2015","7:56:00 AM","CH",1,0,2,1,1,"BTNW","M","S",1,1,0
"112",820,391,0,"5/21/2015","7:56:00 AM","CH",1,0,7,1,1,"BLBW","M","S",1,1,0
"114",820,391,0,"5/21/2015","7:56:00 AM","CH",1,0,11,2,3,"BLBW","M","S",1,0,0
"115",820,391,0,"5/21/2015","7:56:00 AM","CH",1,0,12,2,3,"BTNW","M","S",1,0,1
"116",820,391,0,"5/21/2015","7:56:00 AM","CH",1,0,14,2,3,"BTNW","M","S",1,0,1
"117",820,391,0,"5/21/2015","7:56:00 AM","CH",1,0,15,2,4,"OVEN","M","S",1,1,0
"122",820,391,0,"5/21/2015","7:56:00 AM","CH",1,0,20,3,6,"BTNW","M","S",1,0,0
"124",820,391,0,"5/21/2015","7:56:00 AM","CH",1,0,22,3,7,"BTBW","M","S",1,0,0
"127",820,390,0,"5/21/2015","8:14:00 AM","CH",0,0,4,1,1,"REVI","M","S",1,1,1
"129",820,390,0,"5/21/2015","8:14:00 AM","CH",0,0,6,1,1,"BTBW","M","S",1,1,0
"130",820,390,0,"5/21/2015","8:14:00 AM","CH",0,0,8,1,2,"OVEN","M","S",1,1,0
"131",820,390,0,"5/21/2015","8:14:00 AM","CH",0,0,9,2,3,"OVEN","M","S",1,0,0
"132",820,390,0,"5/21/2015","8:14:00 AM","CH",0,0,10,2,3,"REVI","M","S",1,0,0
"134",820,390,0,"5/21/2015","8:14:00 AM","CH",0,0,12,2,3,"BLBW","M","S",1,1,0
"137",820,390,0,"5/21/2015","8:14:00 AM","CH",0,0,17,2,5,"BTBW","M","S",1,0,0
"139",820,390,0,"5/21/2015","8:14:00 AM","CH",0,0,19,3,6,"BTNW","M","S",1,0,0
"140",820,390,0,"5/21/2015","8:14:00 AM","CH",0,0,20,3,6,"REVI","M","S",1,0,0
"142",820,390,0,"5/21/2015","8:14:00 AM","CH",0,0,22,3,6,"OVEN","M","S",1,0,0
"143",820,390,0,"5/21/2015","8:14:00 AM","CH",0,0,23,3,7,"BTBW","M","S",1,0,0
"144",820,390,0,"5/21/2015","8:14:00 AM","CH",0,0,24,3,7,"BTNW","M","S",1,0,0
"145",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,2,1,1,"REVI","M","S",1,1,1
"146",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,3,1,1,"BTNW","M","S",1,1,0
"147",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,6,1,2,"BTBW","M","S",1,1,0
"148",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,7,1,2,"REVI","M","S",1,1,1
"149",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,9,2,3,"REVI","M","S",1,0,1
"150",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,10,2,3,"REVI","M","S",1,0,1
"151",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,11,2,4,"OVEN","M","S",1,1,0
"152",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,12,2,4,"REVI","M","S",1,1,0
"153",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,13,2,4,"BTBW","M","S",1,1,0
"154",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,16,3,6,"BTBW","M","S",1,0,1
"155",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,17,3,6,"BTBW","M","S",1,1,1
"156",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,18,3,7,"REVI","M","S",1,0,1
"157",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,19,3,7,"REVI","M","S",1,0,1
"158",825,340,0,"5/21/2015","5:52:00 AM","AJS",2,1,20,3,7,"REVI","M","S",1,0,1
