"Plot","0","1","2","3"
"1",3,1,3,4
"2",3,1,3,4
"3",3,1,3,4
"4",3,1,3,4
"5",3,1,3,4
"6",3,1,3,4
"7",3,1,3,4
"8",3,1,3,4
"9",3,1,3,4
"10",3,1,3,4
"11",3,1,3,4
"12",3,1,3,4
"13",3,1,3,4
"14",3,1,3,4
"15",3,1,3,4
"16",NA,3,2,1
"17",2,3,2,1
"18",2,3,2,1
"19",2,3,NA,1
"20",2,3,2,1
"21",2,3,2,1
"22",NA,3,2,1
"23",NA,3,2,1
"24",2,3,2,1
"25",2,3,2,1
"26",2,3,2,1
"27",3,2,4,2
"28",3,2,4,2
"29",3,2,4,2
"30",3,2,4,2
"31",3,2,4,2
"32",3,2,4,2
"33",3,2,4,2
"34",3,2,4,2
"35",3,2,4,2
"37",3,2,NA,2
"38",3,2,4,2
"39",3,2,4,2
"40",3,2,4,2
"41",3,2,4,NA
"42",3,NA,4,2
"43",1,3,1,2
"44",1,3,1,2
"45",1,3,NA,2
"46",1,3,NA,2
"47",1,3,1,2
"48",1,3,1,2
"49",1,3,1,2
"50",1,3,1,2
"51",1,3,1,2
"52",1,3,1,2
"53",1,3,1,2
"54",1,3,1,2
"55",1,NA,NA,2
"56",3,4,1,3
"57",3,1,4,3
"58",1,2,4,1
"59",1,2,4,1
"60",1,2,3,1
"61",1,2,3,1
"62",1,2,3,1
"63",1,2,3,1
"64",1,2,3,1
"65",1,2,3,1
"66",1,2,NA,1
"67",1,2,3,1
"68",1,2,3,1
"69",1,2,3,1
"70",1,2,3,1
"71",1,2,3,1
"72",2,3,2,1
"73",2,3,2,1
"74",1,2,3,1
"75",2,3,2,1
"76",1,3,1,4
"77",1,3,1,4
"78",2,3,1,4
"79",2,3,1,4
"80",2,3,1,4
"81",2,3,1,4
"82",2,3,1,NA
"83",2,3,1,4
"84",2,3,NA,4
"85",2,3,1,4
"86",2,3,1,2
"87",2,3,1,2
"88",2,3,4,2
"89",2,3,4,2
"90",2,1,4,2
"91",2,1,4,2
"92",3,1,4,3
"93",3,1,4,3
"94",2,4,1,3
"95",2,4,1,3
"96",2,4,1,3
"97",2,4,1,3
"98",2,4,1,3
"99",2,4,1,3
"100",2,4,1,3
"101",2,NA,1,3
"102",2,4,1,3
"103",2,4,1,3
"104",2,4,1,3
"105",NA,4,1,3
"106",2,4,1,NA
"107",NA,NA,1,NA
"108",NA,NA,4,NA
"109",NA,NA,4,3
"110",3,1,NA,3
"111",3,1,4,3
"112",3,1,4,3
"113",3,1,4,3
"114",3,1,4,3
"115",3,1,NA,3
"116",3,1,NA,3
"117",3,1,4,3
"118",3,1,4,3
"119",3,1,4,3
"120",3,4,2,2
"121",1,1,3,2
"122",2,1,3,2
"123",2,3,3,2
"124",2,3,3,1
"125",2,3,3,1
"126",2,3,2,1
"127",2,NA,2,1
"128",2,3,2,1
"129",2,3,2,1
"130",2,3,2,4
"131",2,3,2,4
"132",2,3,1,4
"133",2,NA,1,NA
"134",2,3,1,NA
"135",2,3,1,NA
"136",2,NA,1,NA
"137",2,3,1,NA
"138",3,4,2,2
"139",3,4,2,2
"140",3,4,2,2
"141",3,4,2,2
"142",3,4,2,2
"143",3,4,2,2
"144",3,4,2,2
"145",3,4,2,2
"146",3,4,2,2
"147",3,4,2,2
"148",3,4,2,2
"149",3,4,2,2
"150",NA,4,NA,2
"151",3,4,NA,2
"152",1,1,4,3
"153",1,1,4,3
"154",1,1,4,3
"155",2,1,4,1
"156",2,1,4,1
"157",4,2,2,1
"158",4,2,2,1
"159",4,2,2,1
"160",4,2,2,1
"161",4,2,2,1
"162",4,2,2,1
"163",4,2,2,1
"164",4,2,2,1
"165",4,2,2,1
"166",4,2,2,1
"167",4,NA,2,1
"168",NA,2,2,1
"169",4,2,2,1
"170",4,2,2,1
"171",1,1,4,3
"172",1,1,4,3
"173",1,1,4,3
"174",1,1,4,3
"175",1,1,4,3
"176",1,1,4,3
"177",1,1,4,3
"178",1,1,4,3
"179",1,1,4,3
"180",1,1,4,3
"181",1,1,4,3
"182",1,4,3,1
"183",1,4,3,1
"184",1,4,3,1
"185",1,4,3,1
"186",1,4,3,1
"187",1,4,3,1
"188",1,4,3,NA
"189",1,4,3,1
"190",1,4,3,1
"191",1,4,3,1
"192",1,4,3,1
"193",1,4,3,1
"194",1,4,3,1
"195",1,4,3,1
"196",1,4,3,1
"198",2,2,3,3
"199",2,1,3,NA
"200",2,1,1,3
"201",2,1,1,3
"202",2,1,1,3
"203",2,1,1,3
"204",2,4,1,3
"205",2,4,1,3
"206",2,4,1,3
"207",2,4,1,3
"208",NA,NA,1,3
"209",2,4,1,3
"210",2,4,1,3
"211",2,4,1,3
"212",NA,4,1,3
"213",NA,4,1,3
"214",4,2,3,3
"215",4,2,3,3
"216",4,2,4,3
"217",4,2,2,3
"218",3,3,2,4
"219",3,3,2,4
"220",3,3,2,NA
"221",3,3,2,4
"222",3,3,2,4
"223",3,3,2,4
"224",3,3,2,4
"225",3,3,2,4
"226",3,3,NA,4
"227",NA,NA,2,4
"228",3,3,2,4
"229",3,3,2,4
"230",3,3,2,4
"231",3,3,NA,4
"232",4,1,3,4
"233",4,NA,3,4
"234",4,1,3,4
"235",4,1,3,4
"236",4,2,3,4
"237",4,2,3,4
"238",4,2,3,4
"239",4,2,3,4
"240",4,NA,3,4
"241",4,NA,3,4
"242",4,2,NA,4
"243",NA,2,3,4
"244",4,2,NA,4
"245",4,2,3,NA
"246",3,4,1,2
"247",NA,4,1,2
"248",3,NA,1,NA
"249",3,4,1,2
"250",3,NA,1,2
"251",3,4,1,2
"252",3,4,1,NA
"253",3,4,1,2
"254",3,4,1,2
"255",3,4,1,NA
"256",3,4,1,2
"257",3,4,1,2
"258",4,NA,1,2
"259",4,2,1,2
"260",4,2,4,2
"261",4,2,4,2
"262",1,1,4,2
"263",1,1,4,2
"264",1,1,4,2
"265",1,1,4,2
"266",1,3,4,2
"267",1,3,4,2
"268",1,3,4,2
"269",1,3,4,2
"270",1,3,4,2
"271",1,NA,4,2
"272",1,3,4,2
"273",1,3,4,2
"274",1,3,4,2
"299",NA,4,2,1
"300",1,2,3,4
"301",1,2,3,4
"302",1,NA,NA,NA
"303",1,2,3,4
"304",1,2,NA,4
"305",1,2,3,4
"306",1,2,3,4
"307",1,2,3,4
"308",1,2,3,4
"309",1,2,3,4
"310",1,2,3,4
"311",1,2,3,4
"312",1,2,3,4
"313",1,2,3,4
"314",2,1,4,3
"315",2,1,4,3
"316",2,1,4,3
"317",2,1,4,3
"318",2,1,4,4
"319",3,1,1,3
"320",3,1,1,3
"321",3,1,1,3
"322",3,1,1,3
"323",3,1,1,3
"324",3,1,1,3
"325",3,NA,1,3
"326",3,1,1,3
"328",2,3,2,4
"329",1,3,2,4
"330",1,3,2,4
"331",1,NA,2,4
"332",1,3,2,4
"333",1,3,2,4
"334",1,3,2,4
"335",5,4,3,1
"336",5,4,3,1
"337",2,4,3,1
"338",2,4,3,1
"339",1,3,2,4
"340",1,3,2,4
"341",1,3,2,4
"342",2,3,2,4
"343",1,3,2,4
"344",2,3,2,4
"345",2,3,2,4
"346",3,2,4,2
"347",3,2,4,2
"348",3,2,4,2
"349",3,2,4,2
"350",3,2,4,2
"351",3,2,4,2
"352",3,2,4,2
"353",3,2,4,2
"354",3,NA,4,2
"355",NA,4,2,1
"356",NA,4,2,1
"357",NA,4,2,1
"358",NA,4,2,1
"359",NA,4,2,1
"360",NA,4,2,1
"361",NA,4,2,1
"362",NA,4,2,1
"363",NA,4,2,1
"364",NA,4,2,1
"365",NA,4,2,1
"366",NA,4,2,1
"367",1,3,1,2
"368",2,1,4,3
"369",2,1,4,3
"370",2,1,4,3
"371",2,1,4,3
"372",2,1,4,3
"373",2,1,4,3
"374",2,1,4,3
"375",2,1,4,3
"376",2,1,4,3
"377",2,1,NA,NA
"378",3,NA,1,NA
"379",3,1,1,3
"380",3,1,1,3
"381",3,1,1,3
"382",3,1,1,3
"383",3,1,1,3
"384",3,1,1,3
"385",2,4,3,1
"386",2,4,3,1
"387",2,4,3,1
"388",2,4,3,1
"389",2,4,3,1
"390",2,4,3,1
"391",2,4,3,1
"392",2,4,3,1
"393",2,4,3,1
"394",2,4,3,1
"395",2,4,3,1
"396",NA,2,4,2
"397",3,2,4,2
"398",3,2,4,2
"399",3,2,4,2
"400",3,2,4,2
